Start_time,Depthsum,Depths
2020.08.31,11647380,539112
2020.09.01,10162006,469663
2020.09.02,11983089,553670
2020.09.03,6772988,312762
2020.09.04,9567963,442329
2020.09.05,7180140,340272
2020.09.06,13432546,632000
2020.09.07,9784625,462646
2020.09.08,7781388,366282
2020.09.09,10274721,486895
2020.09.10,14255057,675536
2020.09.11,11379186,538437
2020.09.12,12422608,591673
2020.09.13,11652039,548094
2020.09.14,13230893,621072
2020.09.15,10024541,471709
2020.09.16,23921326,1127748
2020.09.17,18056988,860256
2020.09.18,6284254,295364
2020.09.19,10851802,506973
2020.09.20,8130173,379670
2020.09.21,11626972,538827
2020.09.22,16491827,759623
2020.09.23,5027823,230794
2020.09.24,6690840,310388
2020.09.25,4683595,216524
2020.09.26,28730224,1334273
2020.09.27,16245935,753287
2020.09.28,11234119,525180
2020.09.29,32729236,1513591
2020.09.30,2727031,125407
2020.10.01,9111059,422540
2020.10.02,3401280,157772
2020.10.03,850663,38966
2020.10.04,1570673,71782
2020.10.05,6367163,296282
2020.10.06,4088397,190508
2020.10.07,5298902,244733
2020.10.08,12608889,583264
2020.10.09,9621925,446281
2020.10.10,11673148,539612
2020.10.11,11739315,540744
2020.10.12,13654257,632760
2020.10.13,11807705,548730
2020.10.14,20044262,928228
2020.10.15,19989952,923266
2020.10.16,17142682,792822
2020.10.17,11448568,529268
2020.10.18,9725275,448709
2020.10.19,11287630,519035
2020.10.20,12761578,584880
2020.10.21,13681759,630312
2020.10.22,9324262,426066
2020.10.23,14332559,653910
2020.10.24,10292950,470077
2020.10.25,2782010,127107
2020.10.26,6220924,285999
2020.10.27,5153226,235365
2020.10.28,5753028,265318
2020.10.29,3895528,178750
2020.10.30,6468337,297420
2020.10.31,10000096,460244
2020.11.01,11345751,523207
2020.11.02,1591926,73586
2020.11.03,2486124,114889
2020.11.04,5067484,235182
2020.11.05,3382205,154870
2020.11.06,5314233,242965
2020.11.07,7290244,335663
2020.11.08,6283506,288144
2020.11.09,13602444,622990
2020.11.10,12512075,570145
2020.11.11,12193191,551246
2020.11.12,11044203,496421
2020.11.13,15689549,705014
2020.11.14,7557057,338738
2020.11.15,8263609,369755
2020.11.16,4287289,191814
2020.11.17,2748893,123496
2020.11.18,5715134,257395
2020.11.19,11228029,506153
2020.11.20,6885511,309880
2020.11.21,9395613,422167
2020.11.22,14709527,657025
2020.11.23,16927924,752789
2020.11.24,19339143,870820
2020.11.25,19853409,889090
2020.11.26,19517721,865485
2020.11.27,13647867,609902
2020.11.28,19291526,864248
2020.11.29,19840857,888984
2020.11.30,11522038,513686
2020.12.01,16271372,729016
2020.12.02,11904614,535727
2020.12.03,9704792,436250
2020.12.04,10305410,462814
2020.12.05,11001351,493936
2020.12.06,7728012,348706
2020.12.07,8673344,392656
2020.12.08,10486102,476755
2020.12.09,6767676,304382
2020.12.10,12162822,551048
2020.12.11,8327540,377368
2020.12.12,8293773,376054
2020.12.13,8301891,375692
2020.12.14,8172945,365463
2020.12.15,8556939,379478
2020.12.16,12428506,551543
2020.12.17,11100494,491217
2020.12.18,21208502,938084
2020.12.19,13334052,590340
2020.12.20,14909667,654758
2020.12.21,12197405,530087
2020.12.22,21557642,947055
2020.12.23,17315324,762383
2020.12.24,12029242,532956
2020.12.25,6443636,286063
2020.12.26,4399569,194057
2020.12.27,16035039,706901
2020.12.28,11007454,484590
2020.12.29,23721432,1042112
2020.12.30,23038017,1013022
2020.12.31,19004978,840001
2021.01.01,9432109,415777
2021.01.02,8612412,381263
2021.01.03,6845357,302156
2021.01.04,8257252,364798
2021.01.05,9381157,419424
2021.01.06,10362438,462601
2021.01.07,19466726,867898
2021.01.08,22105995,987504
2021.01.09,22998131,1024901
2021.01.10,22122070,988928
2021.01.11,14793523,657282
2021.01.12,20554773,905171
2021.01.13,22080378,976803
2021.01.14,21005754,930713
2021.01.15,29506659,1293454
2021.01.16,8195329,363600
2021.01.17,8853183,390397
2021.01.18,15118348,669128
2021.01.19,11579387,510838
2021.01.20,15748806,698086
2021.01.21,13442005,594373
2021.01.22,13576910,603363
2021.01.23,13255007,587388
2021.01.24,22149671,994221
2021.01.25,22480634,1002893
2021.01.26,19687129,874807
2021.01.27,20953314,939112
2021.01.28,9869800,442426
2021.01.29,13074093,581023
2021.01.30,8939381,398613
2021.01.31,10851973,480922
2021.02.01,10509911,463764
2021.02.02,18504697,819658
2021.02.03,15047432,668579
2021.02.04,8655652,383574
2021.02.05,19098718,843571
2021.02.06,15436967,683460
2021.02.07,19244724,847218
2021.02.08,19048873,832824
2021.02.09,15299558,670777
2021.02.10,10892254,478178
2021.02.11,20880464,917909
2021.02.12,14859343,655441
2021.02.13,12834136,558856
2021.02.14,10157285,444564
2021.02.15,14544574,639441
2021.02.16,10162766,444154
2021.02.17,15680899,677714
2021.02.18,13060556,572547
